{'action_bound': 1,
 'action_dim': 1,
 'actor_l1': 400,
 'actor_l2': 300,
 'actor_lr': 0.0001,
 'actor_rnn': 20,
 'buffer_size': 1000000,
 'critic_l1': 400,
 'critic_l2': 300,
 'critic_lr': 0.001,
 'critic_rnn': 20,
 'discretization_time': 0.001,
 'gamma': 0.99,
 'load_model': False,
 'max_episode_len': 1200,
 'max_episodes': 500,
 'mini_batch_size': 1000,
 'noise_var': 0.0925,
 'random_seed': 1754,
 'save_model': True,
 'scaling': True,
 'state_dim': 2,
 'summary_dir': '/afs/crc.nd.edu/user/k/kkosaraj/GITHUB_REP_DCBF/my_scripts/test_name=dcbf_2/gamma=0.99/time_steps=2',
 'tau': 0.001,
 'time_steps': 2,
 'use_gpu': True}
(array([0.02971586, 0.02961047], dtype=float32), array([ 19.491829, 199.30959 ], dtype=float32))
| Reward: -39.2050 | Episode: 184 | Qmax: 144.9023
| Reward: -38.7707 | Episode: 185 | Qmax: 141.3891
| Reward: -36.8579 | Episode: 186 | Qmax: 141.0603
| Reward: -8.3315 | Episode: 187 | Qmax: 134.6400
| Reward: -30.0342 | Episode: 188 | Qmax: 126.0375
| Reward: -117.4811 | Episode: 189 | Qmax: 120.2368
| Reward: -76.8231 | Episode: 190 | Qmax: 108.9330
| Reward: -129.2754 | Episode: 191 | Qmax: 99.5829
| Reward: -203.6664 | Episode: 192 | Qmax: 91.8316
| Reward: -35.9432 | Episode: 193 | Qmax: 83.5223
| Reward: -131.8101 | Episode: 194 | Qmax: 79.3419
| Reward: -175.5209 | Episode: 195 | Qmax: 72.9951
| Reward: -210.6191 | Episode: 196 | Qmax: 71.9057
| Reward: -67.0724 | Episode: 197 | Qmax: 69.4033
| Reward: -17.1007 | Episode: 198 | Qmax: 67.6531
| Reward: -23.3998 | Episode: 199 | Qmax: 67.3800
| Reward: -89.9635 | Episode: 200 | Qmax: 69.4550
| Reward: -50.9676 | Episode: 201 | Qmax: 68.1239
| Reward: -7.1520 | Episode: 202 | Qmax: 65.2266
| Reward: -11.6283 | Episode: 203 | Qmax: 62.0261
| Reward: -36.0726 | Episode: 204 | Qmax: 58.5376
| Reward: -17.8112 | Episode: 205 | Qmax: 54.8429
| Reward: -33.9190 | Episode: 206 | Qmax: 49.5147
| Reward: -18.8743 | Episode: 207 | Qmax: 45.9009
| Reward: -25.4920 | Episode: 208 | Qmax: 37.9000
| Reward: -137.9673 | Episode: 209 | Qmax: 36.0517
| Reward: -19.8879 | Episode: 210 | Qmax: 28.9373
| Reward: -96.7197 | Episode: 211 | Qmax: 24.4448
| Reward: -72.2158 | Episode: 212 | Qmax: 17.7207
| Reward: -199.4790 | Episode: 213 | Qmax: 13.5637
| Reward: -19.7924 | Episode: 214 | Qmax: 11.3146
| Reward: -82.7173 | Episode: 215 | Qmax: 3.3389
| Reward: -46.9909 | Episode: 216 | Qmax: 0.1690
| Reward: -301.5111 | Episode: 217 | Qmax: -2.9136
| Reward: -47.6360 | Episode: 218 | Qmax: -7.6138
| Reward: -36.5394 | Episode: 219 | Qmax: -5.3139
